Date,Account,From,To,Fee,Market Price,Amount,Paid
24/08/2020,Coinbase,GBP,BTC,0.05%,8875.33,0.05,443.9883833
27/08/2020,Binance,GBP,BTC,0.10%,8691.68,0.3789,3296.57083
11/09/2020,Coinbase,GBP,LTC,0.05%,38.12,20,762.7812
18/09/2020,Coinbase,GBP,LTC,0.05%,37.82,15,567.58365
15/10/2020,Binance,BTC,GBP,0.10%,0.000110619,3421.848674,0.3789
15/10/2020,Coinbase,GBP,XRP,0.05%,0.1929,1000,192.99645
19/10/2020,Coinbase,GBP,XRP,0.05%,0.1923,200,38.47923
22/10/2020,Coinbase,BTC,XRP,0.05%,0.00002,200,0.004002
30/10/2020,Kraken,GBP,ETH,0.15%,303,1,303.4545
31/10/2020,Kraken,GBP,ETH,0.15%,303.2,1,303.6548
31/10/2020,Kraken,ETH,GBP,0.15%,0.003385928,442.3464803,1.5
01/11/2020,Kraken,GBP,BCH,0.15%,204.63,1.5,307.4054175
12/11/2020,Kraken,GBP,BCH,0.15%,190.84,1,191.12626
12/11/2020,Kraken,GBP,XRP,0.15%,0.198,800,158.6376
19/11/2020,Kraken,GBP,BTC,0.15%,13733.6,0.05,687.71002
30/11/2020,Coinbase,GBP,ETH,0.05%,461.9,0.5,231.065475
15/12/2020,Coinbase,ETH,GBP,0.05%,0.002236186,89.39330336,0.2
21/12/2020,Coinbase,ETH,GBP,0.05%,0.002048047,97.6051974,0.2
15/01/2021,Binance,GBP,LINK,0.10%,15.79,20,316.1158
20/01/2021,Binance,GBP,LINK,0.10%,16.05,5,80.33025
24/01/2021,Binance,LINK,BTC,0.10%,1273.88535,0.011763237,15
24/01/2021,Binance,GBP,BTC,0.10%,24187,0.05,1210.55935
09/02/2021,Binance,GBP,ETH,0.10%,1325.36,0.5,663.34268
10/02/2021,Binance,GBP,XRP,0.10%,0.3674,100,36.77674
25/02/2021,Kraken,GBP,XLM,0.15%,0.2915,300,87.581175
03/03/2021,Kraken,XLM,BTC,0.15%,125000,0.001597604,200
03/03/2021,Kraken,GBP,ETH,0.15%,1050.97,0.5,526.2732275
03/03/2021,Kraken,GBP,BTC,0.15%,35620.08,0.01,356.7351012
05/03/2021,Kraken,BTC,GBP,0.15%,2.79329E-05,357.4648028,0.01
06/03/2021,Kraken,GBP,XRP,0.15%,0.34,200,68.102
30/03/2021,Kraken,XRP,GBP,0.15%,2.437835202,409.5856216,1000
02/04/2021,Binance,GBP,DOGE,0.10%,0.045,5000,225.225
02/04/2021,Binance,GBP,ADA,0.10%,0.902,600,541.7412
07/04/2021,Binance,BTC,DOGE,0.10%,0.000001,39960.03996,0.04
09/04/2021,Binance,GBP,DOGE,0.10%,0.04698,238,11.19242124
15/04/2021,Binance,GBP,DOGE,0.10%,0.10568,176,18.61827968
27/04/2021,Binance,DOGE,GBP,0.10%,5.128205,7792.207987,40000
29/04/2021,Binance,ADA,GBP,0.10%,0.9567,417.6862126,400
15/05/2021,Binance,ETH,GBP,0.10%,0.000384123,520.1458541,0.2
20/05/2021,Binance,ETH,GBP,0.10%,0.000548408,546.4915084,0.3
